Driver,Team,Year,GrandPrix,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
ALB,Williams,2023,Monaco,34.0,80.731,HARD,16.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,38.0,78.633,HARD,20.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,46.0,78.9,HARD,28.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,45.0,78.829,HARD,27.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,27.0,77.36,HARD,9.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,43.0,78.486,HARD,25.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,40.0,78.476,HARD,22.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,31.0,79.152,HARD,13.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,51.0,89.941,HARD,33.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,28.0,78.528,HARD,10.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,19.0,83.193,HARD,1.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,23.0,77.064,HARD,5.0,2.0,1,True,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,35.0,78.619,HARD,17.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,36.0,78.804,HARD,18.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,24.0,76.672,HARD,6.0,2.0,1,True,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,32.0,79.589,HARD,14.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,30.0,79.457,HARD,12.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,20.0,78.47,HARD,2.0,2.0,1,True,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,21.0,77.131,HARD,3.0,2.0,1,True,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,49.0,80.597,HARD,31.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,22.0,77.105,HARD,4.0,2.0,1,True,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,48.0,78.882,HARD,30.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,42.0,78.93,HARD,24.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,50.0,80.166,HARD,32.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,41.0,78.825,HARD,23.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,37.0,79.143,HARD,19.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,44.0,78.767,HARD,26.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,25.0,76.793,HARD,7.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,39.0,78.774,HARD,21.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,52.0,115.852,HARD,34.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,26.0,76.962,HARD,8.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,29.0,78.952,HARD,11.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,33.0,81.559,HARD,15.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
ALB,Williams,2023,Monaco,47.0,78.528,HARD,29.0,2.0,1,False,25.06590909090909,39.25568181818182,45.86363636363637,1.005681818181818,0.1477272727272727
