Feature,Importance
categorical__TrackStatus_1,0.18593823891467784
categorical__GrandPrix_Belgium,0.11903963918649751
categorical__GrandPrix_Austria,0.11327888587724345
categorical__GrandPrix_Azerbaijan,0.06972468722304265
numerical__TyreLife,0.05460879979054818
categorical__TrackStatus_12,0.0534204399775234
categorical__GrandPrix_United States,0.05251385579272564
categorical__GrandPrix_Singapore,0.033791285653806645
categorical__GrandPrix_Bahrain,0.03280428846992405
categorical__GrandPrix_Japan,0.030778357710124885
categorical__GrandPrix_Las Vegas,0.02948187755667038
numerical__LapNumber,0.027214282537715847
categorical__GrandPrix_Saudi Arabia,0.019873107559370506
categorical__GrandPrix_Canada,0.019391595422847026
categorical__GrandPrix_Miami,0.01775944434133493
categorical__GrandPrix_Great Britain,0.016526882491864025
categorical__GrandPrix_Abu Dhabi,0.01280591869477121
categorical__TrackStatus_4,0.011225440349708142
categorical__GrandPrix_Brazil,0.011225042982628466
categorical__TrackStatus_41,0.010373130207787958
categorical__TrackStatus_21,0.009722189680669137
categorical__GrandPrix_Qatar,0.009428702098067414
categorical__Compound_INTERMEDIATE,0.008000252751542845
categorical__GrandPrix_Netherlands,0.007460080559490761
categorical__GrandPrix_Italy,0.005497230556074443
categorical__GrandPrix_Hungary,0.004353826820308929
numerical__Stint,0.004319264371678293
categorical__GrandPrix_Monaco,0.004114755956648541
categorical__GrandPrix_Australia,0.00395985322048227
categorical__GrandPrix_Mexico,0.003928018417479286
categorical__TrackStatus_124,0.0021257137368290383
categorical__GrandPrix_Spain,0.002118440632596621
categorical__TrackStatus_45,0.0016225979337470048
categorical__TrackStatus_126,0.0014112491578481077
categorical__Compound_HARD,0.0012742353160346113
categorical__Compound_SOFT,0.0009487137958065548
categorical__Compound_MEDIUM,0.0008808513454629309
numerical__IsPersonalBest,0.0007883553378647955
categorical__TrackStatus_16,0.0007202532909238453
categorical__TrackStatus_6,0.0007102108569870058
categorical__TrackStatus_2,0.0004471566398813719
categorical__TrackStatus_24,0.00038764691883204973
categorical__Driver_BOT,0.00026780901999037533
categorical__Driver_RUS,0.0002642401793207095
categorical__TrackStatus_671,0.00026329756474490363
categorical__TrackStatus_26,0.00026103727793868936
categorical__Driver_PER,0.00022912510043830765
categorical__Driver_MAG,0.0002274616837824015
categorical__Driver_VER,0.00022182294871676413
categorical__TrackStatus_265,0.00020477688696023903
categorical__TrackStatus_64,0.00018425172559019404
categorical__TrackStatus_14,0.00014748309435730283
categorical__Driver_ZHO,0.00014323773891890813
categorical__Driver_SAR,0.0001261254931744988
categorical__Driver_ALO,0.00011569894920409602
categorical__Driver_DEV,0.0001091615374793766
categorical__Driver_HUL,0.00010660693559287333
categorical__Driver_PIA,0.000105035964361201
categorical__Driver_TSU,0.00010298835220840563
categorical__Compound_WET,9.378466110113688e-05
categorical__Driver_STR,8.340031901142738e-05
categorical__Driver_HAM,8.172761944497261e-05
categorical__TrackStatus_71,7.58246955786706e-05
categorical__Driver_NOR,6.829424624055477e-05
categorical__Driver_LEC,6.57797890014749e-05
categorical__Driver_OCO,6.539814456253996e-05
categorical__Driver_ALB,6.442326038936937e-05
categorical__Driver_GAS,6.307826961044381e-05
categorical__TrackStatus_2671,6.226385579667537e-05
categorical__TrackStatus_167,5.607526789768548e-05
categorical__TrackStatus_1265,5.463114860549633e-05
categorical__Driver_SAI,5.4367114115609e-05
categorical__Driver_RIC,1.3349916625602037e-05
categorical__TrackStatus_67,1.2449119253614713e-05
categorical__Driver_LAW,1.0191983916907175e-05
categorical__TrackStatus_65,0.0
categorical__TrackStatus_1264,0.0
categorical__TrackStatus_216,0.0
categorical__TrackStatus_214,0.0
categorical__TrackStatus_125,0.0
numerical__Year,0.0
